SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_HOUSING_TYPE,DAYS_BIRTH,OCCUPATION_TYPE,ORGANIZATION_TYPE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8
100002,1,Cash loans,M,N,Y,202500,406597.5,24700.5,351000,Working,Secondary / secondary special,House / apartment,-9461,Laborers,Business Entity Type 3,0,1,0,0,0,0,0
100003,0,Cash loans,F,N,N,270000,1293502.5,35698.5,1129500,State servant,Higher education,House / apartment,-16765,Core staff,School,0,1,0,0,0,0,0
100004,0,Revolving loans,M,Y,Y,67500,135000,6750,135000,Working,Secondary / secondary special,House / apartment,-19046,Laborers,Government,0,0,0,0,0,0,0
100006,0,Cash loans,F,N,Y,135000,312682.5,29686.5,297000,Working,Secondary / secondary special,House / apartment,-19005,Laborers,Business Entity Type 3,0,1,0,0,0,0,0
100007,0,Cash loans,M,N,Y,121500,513000,21865.5,513000,Working,Secondary / secondary special,House / apartment,-19932,Core staff,Religion,0,0,0,0,0,0,1
100008,0,Cash loans,M,N,Y,99000,490495.5,27517.5,454500,State servant,Secondary / secondary special,House / apartment,-16941,Laborers,Others,0,1,0,0,0,0,0
100009,0,Cash loans,F,Y,Y,171000,1560726,41301,1395000,Commercial associate,Higher education,House / apartment,-13778,Accountants,Business Entity Type 3,0,0,0,0,0,0,1
100010,0,Cash loans,M,Y,Y,360000,1530000,42075,1530000,State servant,Higher education,House / apartment,-18850,Managers,Others,0,1,0,0,0,0,0
100011,0,Cash loans,F,N,Y,112500,1019610,33826.5,913500,Pensioner,Secondary / secondary special,House / apartment,-20099,Others,Others,0,1,0,0,0,0,0
100012,0,Revolving loans,M,N,Y,135000,405000,20250,405000,Working,Secondary / secondary special,House / apartment,-14469,Laborers,Electricity,0,0,0,0,0,0,0
100014,0,Cash loans,F,N,Y,112500,652500,21177,652500,Working,Higher education,House / apartment,-10197,Core staff,Medicine,0,1,0,0,0,0,0
100015,0,Cash loans,F,N,Y,38419.155,148365,10678.5,135000,Pensioner,Secondary / secondary special,House / apartment,-20417,Others,Others,0,0,0,0,1,0,0
100016,0,Cash loans,F,N,Y,67500,80865,5881.5,67500,Working,Secondary / secondary special,House / apartment,-13439,Laborers,Business Entity Type 2,0,1,0,0,0,0,0
100017,0,Cash loans,M,Y,N,225000,918468,28966.5,697500,Working,Secondary / secondary special,House / apartment,-14086,Drivers,Self-employed,0,1,0,0,0,0,0
100018,0,Cash loans,F,N,Y,189000,773680.5,32778,679500,Working,Secondary / secondary special,House / apartment,-14583,Laborers,Transport: type 2,0,1,0,0,0,0,0
100019,0,Cash loans,M,Y,Y,157500,299772,20160,247500,Working,Secondary / secondary special,Rented apartment,-8728,Laborers,Business Entity Type 2,0,0,0,0,0,0,1
100020,0,Cash loans,M,N,N,108000,509602.5,26149.5,387000,Working,Secondary / secondary special,House / apartment,-12931,Drivers,Government,0,1,0,0,0,0,0
100021,0,Revolving loans,F,N,Y,81000,270000,13500,270000,Working,Secondary / secondary special,House / apartment,-9776,Laborers,Construction,0,0,0,0,0,0,0
100022,0,Revolving loans,F,N,Y,112500,157500,7875,157500,Working,Secondary / secondary special,House / apartment,-17718,Laborers,Housing,0,1,0,0,0,0,0
100023,0,Cash loans,F,N,Y,90000,544491,17563.5,454500,State servant,Higher education,House / apartment,-11348,Core staff,Kindergarten,0,1,0,0,0,0,0
100024,0,Revolving loans,M,Y,Y,135000,427500,21375,427500,Working,Secondary / secondary special,House / apartment,-18252,Laborers,Self-employed,0,0,0,0,0,0,0
100025,0,Cash loans,F,Y,Y,202500,1132573.5,37561.5,927000,Commercial associate,Secondary / secondary special,House / apartment,-14815,Sales staff,Trade: type 7,0,1,0,0,0,0,0
100026,0,Cash loans,F,N,N,450000,497520,32521.5,450000,Working,Secondary / secondary special,Rented apartment,-11146,Sales staff,Self-employed,0,1,0,0,0,0,0
100027,0,Cash loans,F,N,Y,83250,239850,23850,225000,Pensioner,Secondary / secondary special,House / apartment,-24827,Others,Others,0,0,0,0,1,0,0
100029,0,Cash loans,M,Y,N,135000,247500,12703.5,247500,Working,Secondary / secondary special,House / apartment,-11286,Drivers,Business Entity Type 3,0,1,0,0,0,0,0
100030,0,Cash loans,F,N,Y,90000,225000,11074.5,225000,Working,Secondary / secondary special,House / apartment,-19334,Cleaning staff,Business Entity Type 3,0,1,0,0,0,0,0
100031,1,Cash loans,F,N,Y,112500,979992,27076.5,702000,Working,Secondary / secondary special,House / apartment,-18724,Cooking staff,Business Entity Type 3,0,1,0,0,0,0,0
100032,0,Cash loans,M,N,Y,112500,327024,23827.5,270000,Working,Secondary / secondary special,House / apartment,-15948,Laborers,Industry: type 11,0,1,0,0,0,0,0
100033,0,Cash loans,M,Y,Y,270000,790830,57676.5,675000,State servant,Higher education,House / apartment,-9994,Others,Military,0,0,0,0,0,0,1
100034,0,Revolving loans,M,N,Y,90000,180000,9000,180000,Working,Higher education,With parents,-10341,Laborers,Business Entity Type 3,0,0,0,0,0,0,0
100035,0,Cash loans,F,N,Y,292500,665892,24592.5,477000,Commercial associate,Secondary / secondary special,House / apartment,-15280,Others,Business Entity Type 3,0,1,0,0,0,0,0
100036,0,Cash loans,F,N,Y,112500,512064,25033.5,360000,Working,Secondary / secondary special,House / apartment,-11144,Private service staff,Services,0,1,0,0,0,0,0
100037,0,Cash loans,F,N,N,90000,199008,20893.5,180000,Working,Secondary / secondary special,House / apartment,-12974,Laborers,Business Entity Type 2,0,1,0,0,0,0,0
100039,0,Cash loans,M,Y,N,360000,733315.5,39069,679500,Commercial associate,Secondary / secondary special,House / apartment,-11694,Drivers,Self-employed,0,0,0,0,0,0,1
